"
TauD
","
Medtr0021s0370
"
"
Pchitina
","
Medtr0027s0260
"
"
MtEXO70l
","
Medtr1g017910
"
"
rmlC-lik
","
Medtr1g023770
"
"
NA
","
Medtr1g023770
"
"
MtPt4
","
Medtr1g028600
"
"
MtCYTb1
","
Medtr1g033360
"
"
MtAMT2-5
","
Medtr1g036410
"
"
MtRAM2
","
Medtr1g040500
"
"
pCullin-like
","
Medtr1g069620
"
"
MtSCL2
","
Medtr1g069725
"
"
ppstk
","
Medtr1g098300
"
"
MtSC4
","
Medtr1g105120
"
"
MtPCY10;MtSC3
","
Medtr1g105120
"
"
MtSC4
","
Medtr1g105130
"
"
MtPCY10;MtSC3
","
Medtr1g105130
"
"
MtFatM
","
Medtr1g109110
"
"
PP2AB-1
","
Medtr1g112940
"
"
NA
","
Medtr2g008520
"
"
NA
","
Medtr2g008520
"
"
NA
","
Medtr2g008540
"
"
NA
","
Medtr2g008540
"
"
MtKECH1
","
Medtr2g012790
"
"
MtAP2c
","
Medtr2g016730
"
"
MtNPF4.12
","
Medtr2g017750
"
"
NA
","
Medtr2g023150
"
"
NA
","
Medtr2g030855
"
"
NA
","
Medtr2g030855
"
"
NA
","
Medtr2g030865
"
"
NA
","
Medtr2g030865
"
"
NA
","
Medtr2g030895
"
"
NA
","
Medtr2g031270
"
"
NA
","
Medtr2g031270
"
"
NA
","
Medtr2g031300
"
"
PP
","
Medtr2g031300
"
"
PPKRLC
","
Medtr2g038675
"
"
MtCBF1;MtNF-YC6
","
Medtr2g081600
"
"
MtCbf2;MtNF-YC11
","
Medtr2g081630
"
"
rmlC-like6
","
Medtr2g086620
"
"
rmlC-like7
","
Medtr2g086630
"
"
rmlC-like8
","
Medtr2g086640
"
"
pp1
","
Medtr2g088610
"
"
PP2AB-1
","
Medtr2g088680
"
"
MtSYP132
","
Medtr2g088700
"
"
pp3
","
Medtr2g091210
"
"
NA5
","
Medtr2g091215
"
"
pp4
","
Medtr2g091215
"
"
PAMdsy
","
Medtr2g098490
"
"
MtHYP5a
","
Medtr2g104800
"
"
NA6
","
Medtr3g020800
"
"
MtSubIn7
","
Medtr3g020880
"
"
MtSubIn8
","
Medtr3g020930
"
"
MtSubIn9
","
Medtr3g020970
"
"
NA7
","
Medtr3g064080
"
"
NA8
","
Medtr3g064090
"
"
NA9
","
Medtr3g064110
"
"
NA10
","
Medtr3g064110
"
"
NA11
","
Medtr3g078250
"
"
MtABAB10
","
Medtr3g086430
"
"
NA12
","
Medtr3g088855
"
"
MtKIN4
","
Medtr3g088855
"
"
MtABAB11;MtABCB20
","
Medtr3g093430
"
"
MtEPP1
","
Medtr3g099200
"
"
MtKIN5
","
Medtr3g104900
"
"
MtCCD8b
","
Medtr3g110195
"
"
MtAMP1
","
Medtr3g111900
"
